,insert,query,update,delete,getmore,dirty,used,flushes,vsize,res,net_in,net_out,conn,set,repl,time,arwa,arwb,cmda,cmdb,qrwa,qrwb
117,0.0,0.0,479.0,0.0,0.0,7.7,17.8,0,4.27G,2.56G,727b,10.3k,8,rs0,SEC,44:20.7,1,0,3,0,0,13
118,0.0,0.0,361.0,0.0,0.0,8.2,18.1,0,4.31G,2.61G,492b,8.91k,8,rs0,SEC,44:27.4,1,0,2,0,0,2
119,0.0,0.0,301.0,0.0,0.0,8.4,18.2,0,4.33G,2.63G,429b,6.80k,8,rs0,SEC,44:36.8,1,0,1,0,0,13
120,0.0,0.0,759.0,0.0,0.0,8.6,18.4,0,4.36G,2.65G,1.23k,17.5k,8,rs0,SEC,44:41.0,1,0,5,0,0,2
121,0.0,0.0,193.0,0.0,0.0,8.9,18.6,0,4.38G,2.68G,352b,7.94k,8,rs0,SEC,44:47.6,1,0,1,0,0,0
122,0.0,0.0,234.0,0.0,0.0,9.0,18.7,0,4.40G,2.70G,409b,7.29k,8,rs0,SEC,44:56.2,1,0,1,0,0,15
123,0.0,0.0,739.0,0.0,0.0,9.2,19.0,0,4.43G,2.73G,1.01k,15.8k,8,rs0,SEC,45:00.6,1,0,4,0,0,0
124,0.0,0.0,203.0,0.0,0.0,9.3,19.2,0,4.46G,2.76G,334b,7.54k,8,rs0,SEC,45:07.5,1,0,1,0,0,2
125,0.0,0.0,505.0,0.0,0.0,9.4,19.2,0,4.46G,2.76G,838b,13.3k,8,rs0,SEC,45:12.3,1,0,3,0,0,16
126,0.0,0.0,607.0,0.0,0.0,9.6,19.4,0,4.48G,2.78G,894b,20.1k,8,rs0,SEC,45:14.9,2,0,3,0,0,14
127,0.0,0.0,136.0,0.0,0.0,9.7,19.5,0,4.50G,2.80G,424b,9.98k,8,rs0,SEC,45:19.8,1,0,1,0,0,3
128,0.0,0.0,250.0,0.0,0.0,9.8,19.6,0,4.51G,2.81G,328b,7.39k,8,rs0,SEC,45:26.8,2,0,1,0,0,16
129,0.0,0.0,2130.0,0.0,0.0,10.1,19.8,0,4.53G,2.83G,2.74k,43.4k,8,rs0,SEC,45:28.3,1,0,11,0,0,0
130,0.0,0.0,120.0,0.0,0.0,10.2,19.9,0,4.55G,2.85G,168b,9.52k,8,rs0,SEC,45:32.7,1,0,0,0,0,0
131,0.0,0.0,453.0,0.0,0.0,10.2,19.9,0,4.56G,2.86G,599b,13.3k,8,rs0,SEC,45:36.6,1,0,2,0,0,15
132,0.0,0.0,412.0,0.0,0.0,10.3,20.0,0,4.57G,2.87G,837b,19.5k,8,rs0,SEC,45:39.1,1,0,3,0,0,10
133,0.0,0.0,135.0,0.0,0.0,10.4,20.1,0,4.58G,2.88G,480b,11.4k,8,rs0,SEC,45:43.3,1,0,1,0,0,4
134,0.0,0.0,467.0,0.0,0.0,10.5,20.2,0,4.59G,2.89G,671b,14.9k,8,rs0,SEC,45:46.8,1,0,3,0,0,16
135,0.0,0.0,406.0,0.0,0.0,10.6,20.3,0,4.60G,2.90G,642b,15.1k,8,rs0,SEC,45:50.0,1,0,2,0,0,13
136,0.0,0.0,158.0,0.0,0.0,10.8,20.4,0,4.62G,2.92G,264b,8.09k,8,rs0,SEC,45:55.8,2,0,1,0,0,3
137,0.0,0.0,475.0,0.0,0.0,10.9,20.5,0,4.63G,2.93G,908b,16.4k,8,rs0,SEC,45:59.5,1,0,4,0,0,11
138,0.0,0.0,238.0,0.0,0.0,11.1,20.6,0,4.65G,2.95G,353b,8.31k,8,rs0,SEC,46:05.4,1,0,1,0,0,0
139,0.0,0.0,926.0,0.0,0.0,11.3,20.8,0,4.67G,2.97G,1.13k,20.5k,8,rs0,SEC,46:08.3,1,0,4,0,0,13
140,0.0,0.0,345.0,0.0,0.0,11.4,20.8,0,4.68G,2.98G,495b,15.3k,8,rs0,SEC,46:11.3,1,0,1,0,0,6
141,0.0,0.0,260.0,0.0,0.0,11.6,21.0,0,4.71G,3.01G,478b,11.1k,8,rs0,SEC,46:15.6,1,0,2,0,0,7
142,0.0,0.0,292.0,0.0,0.0,11.6,21.1,0,4.71G,3.01G,408b,9.59k,8,rs0,SEC,46:20.7,1,0,1,0,0,2
143,0.0,0.0,765.0,0.0,0.0,11.8,21.2,0,4.73G,3.03G,945b,20.5k,8,rs0,SEC,46:23.4,1,0,4,0,0,16
144,0.0,0.0,191.0,0.0,0.0,11.9,21.3,0,4.75G,3.05G,463b,10.9k,8,rs0,SEC,46:27.9,1,0,2,0,0,0
145,0.0,0.0,306.0,0.0,0.0,12.0,21.4,0,4.75G,3.05G,443b,9.90k,8,rs0,SEC,46:33.2,1,0,2,0,0,1
146,0.0,0.0,1040.0,0.0,0.0,12.1,21.5,0,4.77G,3.07G,1.64k,29.6k,8,rs0,SEC,46:35.2,1,0,9,0,0,0
147,0.0,0.0,353.0,0.0,0.0,12.2,21.6,0,4.78G,3.08G,628b,21.2k,8,rs0,SEC,46:37.3,1,0,2,0,0,0
148,0.0,0.0,350.0,0.0,0.0,12.3,21.6,0,4.79G,3.09G,585b,19.3k,8,rs0,SEC,46:39.6,2,0,2,0,0,16
149,0.0,0.0,180.0,0.0,0.0,12.3,21.7,0,4.79G,3.09G,396b,12.1k,8,rs0,SEC,46:43.6,1,0,1,0,0,16
150,0.0,0.0,305.0,0.0,0.0,12.4,21.8,0,4.80G,3.10G,527b,12.4k,8,rs0,SEC,46:47.5,1,0,2,0,0,16
151,0.0,0.0,325.0,0.0,0.0,12.5,21.9,0,4.82G,3.12G,605b,13.8k,8,rs0,SEC,46:51.2,1,0,2,0,0,3
152,0.0,0.0,737.0,0.0,0.0,12.7,22.0,0,4.83G,3.13G,1.01k,23.8k,8,rs0,SEC,46:53.3,1,0,4,0,0,13
153,0.0,0.0,275.0,0.0,0.0,12.8,22.0,0,4.84G,3.14G,389b,13.1k,8,rs0,SEC,46:56.6,1,0,1,0,0,1
154,0.0,0.0,320.0,0.0,0.0,12.8,22.1,0,4.85G,3.16G,409b,11.8k,8,rs0,SEC,47:00.9,1,1,1,0,0,1
155,0.0,0.0,852.0,0.0,0.0,12.9,22.1,0,4.86G,3.16G,1.33k,24.9k,8,rs0,SEC,47:03.0,1,0,5,0,0,4
156,0.0,0.0,262.0,0.0,0.0,13.0,22.2,0,4.86G,3.16G,583b,19.4k,8,rs0,SEC,47:05.2,1,0,2,0,0,2
157,0.0,0.0,157.0,0.0,0.0,13.0,22.2,0,4.86G,3.16G,234b,8.11k,8,rs0,SEC,47:10.6,1,0,0,0,0,2
158,0.0,0.0,738.0,0.0,0.0,13.1,22.2,0,4.87G,3.17G,910b,19.5k,8,rs0,SEC,47:13.4,1,0,3,0,0,16
159,0.0,0.0,289.0,0.0,0.0,13.2,22.3,0,4.88G,3.18G,636b,14.8k,8,rs0,SEC,47:16.7,1,0,2,0,0,0
160,0.0,0.0,368.0,0.0,0.0,13.4,22.4,0,4.89G,3.20G,370b,11.4k,8,rs0,SEC,47:20.7,1,0,1,0,0,0
161,0.0,0.0,24626.0,0.0,0.0,13.4,22.5,0,4.90G,3.20G,32.3k,728k,8,rs0,SEC,47:20.8,2,0,140,0,0,1
162,0.0,0.0,215.0,0.0,0.0,13.5,22.5,0,4.90G,3.21G,490b,19.0k,8,rs0,SEC,47:22.8,1,1,1,0,0,15
163,0.0,0.0,153.0,0.0,0.0,13.5,22.5,0,4.91G,3.21G,550b,20.9k,8,rs0,SEC,47:24.8,1,0,2,0,0,6
164,0.0,0.0,101831.0,0.0,0.0,13.5,22.5,0,4.91G,3.21G,216k,7.37m,8,rs0,SEC,47:24.8,1,0,858,0,0,0
165,0.0,0.0,55.0,0.0,0.0,13.6,22.6,0,4.92G,3.22G,43b,5.83k,8,rs0,SEC,47:30.8,1,0,0,0,0,16
166,0.0,0.0,739.0,0.0,0.0,13.7,22.7,0,4.93G,3.23G,1.17k,21.1k,8,rs0,SEC,47:33.7,1,0,4,0,0,9
167,0.0,0.0,795.0,0.0,0.0,13.8,22.7,0,4.93G,3.23G,1.24k,40.7k,8,rs0,SEC,47:34.8,2,0,6,0,0,16
